Park Name,GPS,Address,Quadrant,Type Of Park,Acres,TurfAcres,Parking Lots,# of Prk Spaces,# of Hand Spaces,# of Drkg Ftns,Restroom,RR Season,Picnic Area,Reservable,Picnic Shelter,Playground,# of Tennis Courts,# of Lighted Tennis Courts,# of Basketball Courts,# of Volleyball Courts,# of Softball Fields,# of Lighted Softball Fields,# of Little League Fields,# of Lighted LL Fields,# of Soccer Fields,Soccer Field Type,Trails,Trail Surface,Horseshoes,Swimming Pool,Pool Type,Water Body,Parcourse,Water Play Feature
Anderson ES,"	39.494597	-119.809644",1055 Berrum Lane,SW,School,1.18,0.74,No,0,0,0,No,,No,No,No,No,0,0,4,0,0,0,0,0,1,Youth Practice,No,,No,No,,,No,No
Barbara Bennett Park,"	39.523537	-119.817221",400 Island Ave,SW,Neighborhood,2.84,1.5,Yes,39,2,1,Yes,Yearly,No,No,No,Yes,4,2,2,0,0,0,0,0,0,,No,,No,No,,river,No,No
Beck ES,"	39.504513	-119.826149",1900 Sharon Dr,SW,School,1.25,1.25,No,0,0,0,No,,No,No,No,No,0,0,3,0,0,0,0,0,1,Youth Practice,No,,No,No,,,No,No
Bicentennial Park,"	39.52399	-119.819238",10 Ralston St,NW,Neighborhood,1.79,0.6,Yes,20,2,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Billinghurst MS,"	39.52236	-119.893756",6685 Chesterfield Lane,NW,School,3.49,2.76,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,2,0,1,Youth Games,No,,No,No,,,No,No
Brodhead Park,"	39.528995	-119.804337",5 South Park St,SE,Neighborhood,2.01,0.81,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Cannan ES,"	39.550138	-119.78474",2450 Cannan St,NE,School,1.68,1.42,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,2,0,1,Youth Practice,No,,No,No,,,No,No
Canyon Creek Park,"	39.526997	-119.882172",1485 Robb Dr,NW,Neighborhood,4.1,1.49,Yes,28,2,1,Yes,Yearly,Yes,No,Yes,Yes,0,0,0.5,1,0,0,0,0,0,,Yes,Paved,Yes,No,,,Yes,No
Center Creek Park,"	39.438381	-119.736587",1595 Wilbur May Pkwy,SE,Neighborhood,5.64,3.72,Yes,16,2,1,No,,No,No,Yes,Yes,0,0,1,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Comstock Park,"	39.435477	-119.731919",1650 Carat Dr,SE,Neighborhood,5.37,2.89,Yes,19,1,1,Yes,Seasonal,No,No,Yes,Yes,0,0,0.5,0,0,0,1,0,0,,Yes,Paved,No,No,,stream,No,No
Corbett ES,"	39.510018	-119.784397",1901 Villanova Dr,SE,School,1,0.67,No,0,0,0,No,,No,No,No,No,0,0,3,0,0,0,0,0,0,,No,,No,No,,,No,No
Crissie Caughlin Park,"	39.511025	-119.85235",3415 Idlewild Dr,SW,Neighborhood,5,3.19,Yes,26,2,1,Yes,Yearly,No,No,Yes,Yes,0,0,0,0,0,0,0,0,0,,Yes,Paved,Yes,No,,,No,No
Crystal Lake Park,"	39.456302	-119.789238",1190 Country Estates Cir,SW,Neighborhood,5,1.73,Yes,22,2,2,Yes,Seasonal,No,No,Yes,Yes,2,0,1,1,0,0,0,0,0,,Yes,Paved,Yes,No,,,Yes,No
Damonte Ranch Park,"	39.425443	-119.727499",1950 Steamboat Parkway,SE,Neighborhood,8.03,4.5,Yes,19,2,1,Yes,Yearly,No,No,Yes,Yes,0,0,1,0,0,0,0,0,0,,No,,No,No,,,No,No
Depoali Middle School,"	39.450371	-119.734992",9300 Wilbur May Pkwy,SE,Neighborhood,1.34,1.34,Yes,53,2,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,1,Youth Games,No,,No,No,,,No,No
Dick Taylor Park,"	39.541019	-119.810792",1140 Beach St,NE,Neighborhood,14.65,8.23,Yes,158,6,2,Yes,Yearly,Yes,No,Yes,Yes,2,0,4,0,2,0,0,0,0,,Yes,Paved,No,No,,,No,No
Dodson ES,"	39.489882	-119.750931",4355 Houston St,SE,School,2.26,2.26,No,0,0,0,No,,No,No,No,No,0,0,2.5,0,2,0,0,0,2,Youth Practice,No,,No,No,,,No,No
Donner Party Park,"	39.475821	-119.754537",4385 Loreto Lane,SE,Pocket,1.27,1.2,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Dorothy McAlinden,"	39.652411	-119.8756",12000 Mt Charleston,NV,Neighborhood,25,3.5,Yes,37,2,0,Yes,Seasonal,No,No,Yes,Yes,0,0,0,1,0,0,0,0,0,,Yes,Comb,Yes,No,,,No,No
Double Diamond Park,"	39.450362	-119.735523",9100 Wilbur May Pkwy,SE,Community,10,3.5,Yes,116,2,1,Yes,Seasonal,No,No,No,No,0,0,0,0,2,0,0,0,0,,No,,No,No,,,No,No
Downtown Plaza (ice rink),"	39.525371	-119.812777",10 North Virginia,NE,Pocket,1.1,0.25,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Duncan ES,"	39.540932	-119.794352",1200 Montello St,NE,School,0.5,0.4,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,2,0,1,Youth Practice,No,,No,No,,,No,No
Echo Loder ES,"	39.503384	-119.792623",600 Apple St,SE,School,3.03,2.8,No,0,0,0,No,,No,No,No,No,0,0,2,0,1,0,0,0,2,Youth Games,No,,No,No,,,No,No
Eighth Street,"	39.535886	-119.808385",455 East 8th St,NE,Pocket,0.71,0.7,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Evans Park,"	39.53668	-119.813595",200 East 9th St,NE,Neighborhood,2.07,1.37,Yes,28,1,0,Yes,Seasonal,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,Yes,No,,,No,No
Evergreen Park,"	39.441118	-119.748696",9555A Evergreen St,SE,Neighborhood,1.77,0.88,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Fisherman's Park #1,"	39.530341	-119.779946",495 Galetti Way,NE,Neighborhood,5.57,0.59,Yes,22,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,river,No,No
Fisherman's Park #2,"	39.53088	-119.788008",5 Kietzke Lane,NE,Neighborhood,4.03,0.92,Yes,9,2,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,river,No,No
Fulton Corner,"	39.52493	-119.816793","1st & Arlington, SE Corner",NW,Pocket,0.12,0,No,0,0,1,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,river,No,No
Governor's Bowl,"	39.535633	-119.793535",1498 East 7th St,NE,Neighborhood,7.43,2.6,Yes,90,3,1,Yes,Seasonal,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Harrah's/DiLoreto Pathway,"	39.529633	-119.813803","Truckee River Path, Wells to Sutro",SE,Trail,0.98,0,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Hilltop Park,"	39.54311	-119.862853",3950 Buckingham Pl,NW,Neighborhood,5.24,2.7,Yes,40,3,2,Yes,Seasonal,No,No,Yes,Yes,0,0,0,0,2,2,0,0,0,,Yes,Paved,No,No,,,No,No
Holcomb Historic Site,"	39.443789	-119.784998",1005 Holcomb St,SE,Pocket,0.7,0.54,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Horizon View Park,"	39.437652	-119.736964",9675 Wilbur May Pkwy,SE,Neighborhood,5,1.48,Yes,8,1,1,No,,No,No,Yes,Yes,0,0,0,0,0,0,0,0,0,,No,,No,No,,,Yes,No
Horseman's Park,"	39.484402	-119.833362",2800 Pioneer Dr,SW,Neighborhood,12.35,0.86,Yes,45,1,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Comb,No,No,,,No,No
Huffaker Mountain Trail,"	39.457302	-119.767857",1160 East Huffaker Dr,SE,Trail,76.44,0,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Dirt,No,No,,,No,No
Huffaker Park,"	39.457302	-119.767857",1160 East Huffaker Dr,SE,Neighborhood,9.22,3.4,No,0,0,1,Yes,Seasonal,No,No,Yes,Yes,2,0,1,0,1,0,0,0,1,Youth Practice,Yes,Paved,Yes,No,,,Yes,No
Idlewild Park,"	39.519671	-119.836692",2055 Idlewild Dr,SW,Community,49,20.72,Yes,400,10,3,Yes,Yearly,Yes,Yes,Yes,Yes,0,0,0,3,3,3,0,0,0,,Yes,Paved,No,Yes,Outdoor,both,Yes,Yes
Irving Circle,"	39.534051	-119.833057",85 Irving Park Circle,NW,Pocket,0.81,0.81,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Ivan Sack Park & Diloreto Path,"	39.515123	-119.847067",3005 Idlewild Dr,SW,Pocket,2.82,0.91,No,0,0,2,No,,No,No,Yes,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,river,No,No
Jack Tighe Ballfields,"	39.489125	-119.799304",325 Burris Lane,SW,Neighborhood,8.12,3.77,Yes,136,0,1,Yes,Seasonal,No,No,No,No,0,0,0,0,0,0,4,3,0,,No,,No,No,,,No,No
Jamaica Park,"	39.477501	-119.779328",1000 Jamaica Ave,SE,Neighborhood,7.8,4.38,Yes,92,4,1,Yes,Seasonal,No,No,Yes,Yes,0,0,0,0,1,0,0,0,1,Youth Practice,Yes,Paved,Yes,No,,,No,No
John Champion Park,"	39.528342	-119.796192",957 Kuenzli St,SE,Neighborhood,1.53,0.24,Yes,7,2,1,No,,No,No,Yes,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,river,No,No
Kuenzli River Belt Pathway,"	39.529633	-119.813803","Truckee River Path, Sutro to Champion",SE,Pathway,1.63,0,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Lake Park,"	39.543371	-119.835192",40 Coleman Dr,NW,Neighborhood,4.17,2.61,No,0,0,0,No,,No,No,No,Yes,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,pond/lake,No,No
Las Brisas Park,"	39.542578	-119.869307",5350 Las Brisas Blvd,NW,Neighborhood,10.32,2,Yes,13,2,1,Yes,Yearly,No,No,Yes,Yes,0,0,0.5,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,Yes
Liston Park,"	39.50901	-119.793627",1635 Yori Ave,SE,Pocket,1.03,0.89,No,0,0,0,No,,No,No,No,Yes,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Lunsford Triangle,"	39.522158	-119.821459",Riverside & Washington,NW,Pocket,0.25,0.24,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Manzanita Park,"	39.483375	-119.801955",630 Manzanita Lane,SW,Neighborhood,11.64,7.12,Yes,16,2,1,Yes,Seasonal,No,No,Yes,Yes,2,0,1,1,1,0,0,0,1,Youth Practice,Yes,Paved,Yes,No,,stream,Yes,No
Mary Gojack Park,"	39.482023	-119.834505",3100 Skyline Blvd,SW,Neighborhood,4.68,3.46,Yes,30,2,1,Yes,Yearly,No,No,No,Yes,0,0,0,0,0,0,0,0,1,Youth Games,No,,No,No,,,No,No
Mayor's Park,"	39.652411	-119.8756",12000 Mt Charleston,NV,Community,59.12,1.6,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,2,1,0,,No,,No,No,,,No,No
McKinley Park & Arts/Culture Center,"	39.521343	-119.823881",925 Riverside Dr,NW,Neighborhood,2.99,1.09,Yes,99,5,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Melody Lane Park,"	39.5601	-119.788883",2370 Scottsdale Dr,NE,Neighborhood,5.2,4.1,No,0,0,1,No,,No,No,Yes,Yes,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Miguel Ribera Park & Neil Road Rec Cen,"	39.488733	-119.780103",3905 Neil Road,SE,Neighborhood,19.34,7.63,Yes,125,6,2,No,,No,No,Yes,Yes,0,0,2,1,1,0,0,0,2,Adult Games,Yes,Paved,Yes,No,,,No,No
Mira Loma Park,"	39.489181	-119.747931",3000 South McCarran Blvd,SE,Community,37.52,28.73,Yes,356,17,4,Yes,Yearly,No,No,Yes,Yes,4,0,0.5,0,1,1,0,0,3,Adult Games,Yes,Paved,No,No,,stream,Yes,No
Moana Pool & Park,"	39.490757	-119.799626",240 W Moana Lane,SW,Community,4.98,1.04,Yes,42,2,0,No,,No,No,No,Yes,0,0,0,0,0,0,0,0,0,,No,,No,Yes,Indoor,,No,No
Moana Stadium,"	39.490757	-119.799626",240 West Moana Lane,SW,Community,7.17,2.42,Yes,140,6,1,Yes,Seasonal,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Newlands Park,"	39.519627	-119.821889",700 California Ave,SW,Neighborhood,2.4,0.59,Yes,6,0,0,No,,No,No,No,Yes,0,0,0,0,0,0,0,0,0,,Yes,DG,No,No,,,No,No
Northgate Park,"	39.52263	-119.889577",6450 Moonridge Terrace,NW,Neighborhood,5.73,3.53,No,0,0,1,Yes,Seasonal,No,No,Yes,Yes,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Northwest Pool & Park,"	39.536577	-119.851012",2775 Apollo Way,NW,Community,13,8.2,Yes,55,2,0,Yes,Seasonal,No,No,No,Yes,2,0,4,0,0,0,2,2,2,Youth Practice,No,,No,Yes,Indoor,,No,No
Northwest Trails,"	39.529633	-119.813803",Various,NW,Trail,0,0,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Comb,No,No,,,No,No
O'Brien MS,"	39.624097	-119.881443",10500 Stead Blvd,NV,School,7.07,4.65,No,0,0,1,Yes,Seasonal,No,No,No,No,4,0,6,0,0,0,2,0,2,Youth Games,No,,No,No,,,No,No
Oxbow Nature Study Area,"	39.51909	-119.845956",3100 Dickerson Road,NW,Community,18.41,0.06,Yes,40,2,0,Yes,Yearly,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,river,No,No
Panther Valley Park,"	39.589023	-119.818154",850 Link Lane,NE,Neighborhood,5,2.25,No,0,0,2,Yes,Seasonal,No,No,Yes,Yes,0,0,1.5,0,0,0,0,0,0,,No,,No,No,,,Yes,Yes
Pat Baker Park,"	39.547307	-119.795504",1910 Bishop St,NE,Neighborhood,1.31,0.89,No,0,0,0,No,,No,No,Yes,Yes,0,0,2,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Peavine Fields,"	39.53205	-119.848697",825 Wyoming St,NW,Neighborhood,9.73,0.57,No,0,0,0,Yes,Seasonal,No,No,No,No,0,0,0,0,3,1,0,0,0,,No,,No,No,,,No,No
Pickett Park,"	39.524243	-119.798357",250 Kirman Ave,SE,Neighborhood,5.33,3.91,Yes,18,1,1,Yes,Yearly,No,No,Yes,Yes,1,0,1,0,0,0,0,0,0,,No,,Yes,No,,,Yes,No
Pine MS,"	39.479754	-119.780615",4800 Neil Road,SE,School,7.17,4.4,No,0,0,0,No,,No,No,No,No,4,0,4,0,2,0,0,0,0,,No,,No,No,,,No,No
Plumas Park,"	39.512827	-119.8144",575 Munroe St,SW,Neighborhood,4.68,3.58,Yes,55,3,0,Yes,Yearly,No,No,No,No,0,0,2,0,0,0,0,0,2,Youth Games,No,,No,No,,,No,No
Powning Park,"	39.52362	-119.811596",150 South Virginia St,SE,Pocket,0.27,0.16,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Rainbow Ridge Park,"	39.522763	-119.874454",1355 Rainbow Ridge Dr,NE,Neighborhood,23.5,4.1,No,0,0,1,Yes,Seasonal,No,No,Yes,Yes,0,0,1,0,0,0,0,0,0,,Yes,Comb,No,No,,stream,No,No
Raleigh Heights Park,"	39.5907	-119.845347",825 Burgess Place,NV,Neighborhood,5,1.61,No,0,0,1,No,,No,No,Yes,Yes,0,0,1,0,0,0,1,0,0,,Yes,Paved,No,No,,,No,No
Reggie Road Exercise Area,"	39.476194	-119.748207",Reggie Road,SE,Neighborhood,5.15,0,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Dirt,No,No,,stream,No,No
Reno Sports Complex,"	39.553823	-119.826418",2975 North Virginia St,NW,Community,18.6,5.25,Yes,356,8,2,Yes,Seasonal,No,No,No,No,0,0,0,0,4,4,0,0,0,,No,,No,No,,,No,No
Reno Tennis Center,"	39.499096	-119.81319",2601 Plumas St,SW,Neighborhood,5.3,0.26,Yes,60,2,2,Yes,Yearly,No,No,No,No,16,4,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Riverside Drive,"	39.522601	-119.820911",650 Riverside Dr,NW,Neighborhood,2.95,1.89,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Robinhood Park,"	39.494501	-119.805962",750 Robinhood Dr,SW,Pocket,0.57,0,No,0,0,0,No,,No,No,Yes,Yes,0,0,2,0,0,0,0,0,0,,No,,No,No,,,No,No
Rotary Centennial Park,"	39.542637	-119.797322",1265 Hillboro Ave,NE,Pocket,0.3,0,Yes,4,1,0,No,,No,No,Yes,Yes,0,0,0.5,0,0,0,0,0,0,,No,,No,No,,,No,No
Sage Street Park,"	39.537422	-119.793599",790 Sage Street,NE,Neighborhood,1.08,0.37,No,0,0,0,No,,No,No,Yes,Yes,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Schiappacasse Park,"	39.510717	-119.86095",3945 Riverhaven Dr,SW,Neighborhood,5.37,0,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,river,No,No
Seminary Park,"	39.538553	-119.818981",1101 Sierra St,NW,Pocket,0.14,0,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
Silver Lake Park,"	39.633951	-119.90154",8755 Red Baron Blvd,NV,Neighborhood,10.5,1.4,Yes,55,3,1,Yes,Seasonal,No,No,Yes,Yes,0,0,2,0,0,0,1,0,1,Youth Practice,Yes,Paved,Yes,No,,,No,Yes
Sky Country Park,"	39.546613	-119.852192",3290 Snake River Dr,NW,Neighborhood,7,0.7,Yes,11,1,1,No,,No,No,No,Yes,0,0,0,1,0,0,0,0,0,,Yes,DG,Yes,No,,,No,No
Sky Tavern,"	39.336911	-119.872522",21130 Mt Rose Highway,SW,Community,143.07,0,Yes,100,4,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,DG,No,No,,,No,No
Somersett Park - East,"	39.529633	-119.813803",1900 Park Hollow Court,NW,Neighborhood,5.11,2.5,Yes,11,2,1,Yes,Seasonal,No,No,Yes,Yes,0,0,0.5,0,0,0,0,0,0,,No,,No,No,,,No,No
Sterling Village Tot Lot,"	39.544788	-119.803257",760 Winston Dr,NE,Pocket,0.23,0,No,0,0,0,No,,No,No,Yes,Yes,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Stewart Park,"	39.522213	-119.804837",400 Stewart St,SE,Neighborhood,1.29,0.85,No,0,0,0,Yes,Seasonal,No,No,Yes,Yes,0,0,1,0,0,0,0,0,0,,No,,No,No,,,No,No
Summit Ridge Park,"	39.518816	-119.854767",4650 Summit Ridge Dr,NW,Neighborhood,5.99,3.02,No,0,0,1,Yes,Seasonal,No,No,Yes,Yes,0,0,1,0,0,0,0,0,0,,Yes,Paved,Yes,No,,,Yes,Yes
Swope MS,"	39.510486	-119.847613",901 Keele Dr,SW,School,8.37,6.24,No,0,0,2,Yes,Seasonal,No,No,No,No,0,0,4,0,0,0,4,4,1,Youth Games,No,,No,No,,,No,No
Teglia's Paradise Park,"	39.544642	-119.780837",2700 Paradise Dr,NE,Community,38.39,6.81,Yes,321,14,1,Yes,Yearly,Yes,Yes,Yes,Yes,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,pond/lake,Yes,No
Terrace Sports Complex,"	39.544493	-119.891267",2525 Robb Drive,NW,Community,25,8.83,Yes,255,11,2,Yes,Seasonal,No,No,Yes,Yes,0,0,0,0,0,0,4,4,1,Youth Games,No,,No,No,,,No,No
Traner MS and Pool,"	39.540656	-119.792569",1700 Carville Dr,NE,Community,4.29,3.27,No,0,0,0,No,,No,No,No,No,0,0,6,0,0,0,2,0,1,Youth Games,No,,No,Yes,Outdoor,,No,No
University Ridge Park,"	39.55961	-119.812199",990 South University Park Loop,NE,Neighborhood,12.72,1.35,Yes,20,2,2,Yes,Seasonal,No,No,Yes,Yes,0,0,1,0,0,0,0,0,0,,Yes,Paved,No,No,,,Yes,No
Valleywood Park,"	39.533292	-119.891802",6555 Valley Wood Dr,NW,Community,9.5,2.35,No,0,0,1,Yes,Seasonal,No,No,Yes,Yes,0,0,1,0,0,0,0,0,0,,Yes,Paved,No,No,,stream,No,No
Vaughn MS,"	39.513973	-119.792635",1200 Bresson Ave,SE,School,5.32,2.9,No,0,0,0,No,,No,No,No,No,0,0,5,0,3,2,0,0,0,,No,,No,No,,,No,No
Virginia Lake Park,"	39.503852	-119.807185",1980 Lakeside Dr,SW,Community,31.58,1.18,Yes,152,8,5,Yes,Yearly,No,No,Yes,Yes,0,0,0,0,0,0,0,0,0,,Yes,Comb,No,No,,pond/lake,Yes,No
Warner ES,"	39.527482	-119.856893",3075 Heights Dr,NW,School,2.25,1.34,No,0,0,0,No,,No,No,No,No,0,0,2,0,2,0,0,0,1,,No,,No,No,,,No,No
Water's Edge,"	39.519167	-119.825447",200 Booth St,SW,Pathway,0.24,,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,,No,No
West Street Plaza,"	39.525224	-119.81525",220 West 1st St,NW,Pocket,0.46,0,No,0,0,0,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,No,,No,No,,,No,No
Westergard ES,"	39.526915	-119.893071",1785 Ambassador Dr,NW,School,2.63,1.65,No,0,0,0,No,,No,No,No,Yes,0,0,2,0,0,0,1,0,0,,No,,No,No,,,No,No
Wheatland Park,"	39.469943	-119.80621",990 Wheatland Rd,SW,Neighborhood,6.08,2.94,Yes,1,1,1,Yes,Seasonal,No,No,Yes,Yes,0,0,0,1,0,0,0,0,0,,No,,Yes,No,,stream,No,Yes
Whitaker Park,"	39.533323	-119.823568",550 University Terrace,NW,Neighborhood,8.15,5.89,No,0,0,1,Yes,Seasonal,No,No,Yes,Yes,2,0,0,0,0,0,0,0,0,,No,,Yes,No,,,No,No
Wilkinson Park,"	39.517389	-119.792699",1201 East Taylor St,SE,Neighborhood,4.29,3.78,No,0,0,1,Yes,Seasonal,No,No,No,Yes,2,0,0,0,0,0,3,0,0,,No,,No,No,,,No,No
Wingfield Park,"	39.523768	-119.816251",2 South Arlington Ave,SW,Neighborhood,3.21,1.58,No,0,0,1,No,,No,No,No,No,0,0,0,0,0,0,0,0,0,,Yes,Paved,No,No,,river,No,No
Yori Park,"	39.498207	-119.793546",2800 Yori Ave,SE,Neighborhood,3.13,1.5,No,0,0,1,Yes,Yearly,No,No,Yes,Yes,0,0,1,0,0,0,0,0,0,,No,,No,No,,,No,Yes